Winery Name,lat,lon
MountainRose Vineyards,36.97064250951611,-82.52447474
Vincent's Vineyard,36.9107739,-82.0419435
Breezy Hill Meadworks,36.9291898,-76.60322135
Gauthier Vineyard,37.468842,-76.832807
Hampton Roads Winery,37.07157925,-76.87516534
Jolene Family Winery,37.504771,-77.180969
Mermaid Winery,36.8465135,-76.2924117
New Kent Winery,37.524963,-77.075543
Saudé Creek Vineyards,37.4237573,-76.9010753
Sly Clyde Ciderworks,37.016485,-76.3194668
Smithfield Winery,36.982388595207496,-76.63135515
SummerWind Vineyard,37.01261255,-76.60942921
Upper Shirley Vineyards,37.34867362,-77.24116835
Williamsburg Winery,37.2318386,-76.71818763
Chatham Vineyards on Church Creek,37.453868,-75.932033
Backporch Vineyard,38.18170138,-77.06702025
Caret Cellars,37.973435,-76.963723
Ditchley Cider Works,37.7342575,-76.33442366
General's Ridge Vineyard,38.029975,-76.663468
Good Luck Cellars,37.7104805,-76.3796997
Ingleside Vineyards,38.9807325,-77.4089183
Jacey Vineyards,37.8001163,-76.3363669
Mattapony Reserve,37.5315303,-76.7963566
Monroe Bay Winery,38.245372,-76.983023
Rivah Vineyards at The Grove,38.04443973121213,-76.58066389
The Estate at White Hall Vineyard,38.2788806,-77.28512806
The Hague Winery,38.07169,-76.656055
Triple V Farms,37.841917,-76.371742
Wind Vineyards at Laurel Grove,37.843328,-76.927641
Zoll Vineyards,37.4979152,-76.4574477
7 Lady Vineyards,37.657957,-77.72126
Afton Mountain Vineyards,38.009338,-78.85483
Albemarle CiderWorks,37.96808676896519,-78.65110211
Ankida Ridge Vineyards,37.7077134,-79.174295
Ashton Creek Vineyard and Winery,37.30523335,-77.40890499
Barboursville Vineyards,38.1603298,-78.27715
Barn at 678,38.16655413876015,-78.2743111
Black Heath Meadery,37.565363149999996,-77.47120477
Blenheim Vineyards,37.93179,-78.499249
Blue Bee Cider,37.591741,-77.488847
Blue Quartz Winery,38.492884,-78.282927
Blue Toad Hard Cider,37.78846,-79.021816
Bold Rock Hard Cider,37.88097,-78.905649
Brent Manor Vineyards,37.8315231,-78.7371019
Bryant's Cider,37.795345,-78.942788
Burnley Vineyards,38.158454,-78.317095
Buskey Cider,37.5660628,-77.4691869
Byrd Cellars,37.75835523,-78.0236482
Caihailian Vineyard,37.7476406,-78.9758579
Cardinal Point Vineyard & Winery,37.988609,-78.81385
Castle Glen Winery,37.905629,-77.533696
Castle Hill Cider,38.0888483,-78.29090775
Chateau MerrillAnne,38.18260184645828,-77.97561477
Chestnut Oak Vineyard,38.141719,-78.328154
Chisholm Vineyards at Adventure Farm,38.135079700000006,-78.46179019
Chiswell Farm and Winery,38.044651,-78.772669
Courthouse Creek Cidery,37.672311,-77.8760931
Coyote Hole Craft Beverages,38.085614,-77.854053
Cunningham Creek Winery,37.875052,-78.356204
DeVault Family Vineyards,37.3463761,-78.9712416
DuCard Vineyards,38.5255527,-78.2623775
Eagle Zen Winery,37.629308,-78.548234
Early Mountain Vineyards,38.3519606,-78.31012753
Eastwood Farm and Winery,37.9659,-78.517105
Elk Island Winery,37.684151789786355,-77.88535853
Everleigh Vineyards,37.919563800000006,-77.85739108
Fallen Tree Winery,38.135844,-78.658913
Fifty-Third Winery and Vineyard,37.961184,-77.929082
Flying Fox Vineyard,38.0323598,-78.839189
Gabriele Rausse Winery,37.940955,-78.47728
Garden Grove Brewing & Urban Winery,37.554867,-77.485924
Glass House Winery,38.200762,-78.578681
Grace Estate Winery,38.117796,-78.684255
Grayhaven Winery,37.8060126,-77.90729057
Haley's Honey Meadery,37.3047078,-77.2855384
Hardware Hills Vineyard,37.789232,-78.405581
Hark Vineyards,38.213279,-78.549187
Haunted Vineyards,37.29803,-78.165068
Hazy Mountain Vineyards & Brewery,38.019703,-78.807599
Henley's Orchard Estate Cidery,38.096,-78.693306
Hill Top Berry Farm Winery & Meadery,37.900799,-78.846206
Honah Lee Vineyard,38.184756,-78.144821
Horton Vineyards,38.16685,-78.260809
James River Cellars,37.700876,-77.461578
Jefferson Vineyards,37.990052,-78.443646
Keswick Vineyards,38.074492,-78.289305
King Family Vineyards,38.0623934,-78.7284272
Knight's Gambit Vineyard,38.093296,-78.621343
Lazy Days Winery,37.6187786,-79.0204769
Loving Cup Vineyard & Winery,37.951574,-78.686378
Lovingston Winery,37.728445,-78.913473
Merrie Mill Farm & Vineyard,38.050871,-78.293065
Michael Shaps Wineworks,38.029306,-78.4766781
Montifalco Vineyard,38.1946216,-78.4367739
Moss Vineyards,38.237512,-78.554351
Mount Alto Vineyards,37.826817,-78.597861
Mount Fair Vineyard,38.161998,-78.676901
Mountain & Vine Vineyards and Winery,37.8315231,-78.7371019
Muddy Paws Winery,37.738886,-78.539583
Oakencroft Farm & Winery,38.084456,-78.551594
Pippin Hill Farm & Vineyards,37.96198655,-78.65838666
Pollak Vineyards,38.034566,-78.794361
Potter's Craft Cider,37.99866585,-78.57990471
Prince Michel Vineyard,38.4362,-78.154291
Rassawek Winery,34.005042,-81.087214
Rebec Vineyards,37.6412792,-78.9856402
Reserve: Tasting Room & Lounge,37.41398735,-79.13914925
Revalation Vineyards,38.437085832665716,-78.23635896
Reynard Florence Vineyard,38.185407,-78.337244
River Dog Winery,37.6294756,-77.5189032
Septenary The Winery at Seven Oaks Farm,38.041286,-78.747596
Skippers Creek Vineyard,37.4706654,-77.8836617
South Paddock Winery,37.850431,-78.505945
Southern Revere Cellars,37.966068,-78.100706
Southwest Mountains Vineyards,38.064443,-78.331121
Stinson Vineyards,38.1195835,-78.6645847
Stone Mountain Vineyards,38.278664,-78.585374
Sweet Briar College Farm,38.135079700000006,-79.06252903
Sweet Vines Farm Winery,38.205488,-77.915213
Tasting Room & Taphouse at Mount Ida Reserve,38.029306,-78.4766781
Trump Winery,37.951083,-78.50787
Valley Road Vineyards,38.020964,-78.822218
Veritas Vineyard & Winery,38.015526,-78.836473
White Hall Vineyards,38.1348384,-78.6842185
Wisdom Oak Winery,37.93873,-78.613355
Woodbrook Farm Vineyard,38.24474873,-78.17131439
Abingdon Vineyards,36.6582483,-81.8889817
Beliveau Farm Winery,37.312071,-80.278918
Chateau Morrisette Winery,36.793805,-80.39387
Davis Valley Winery & Distillery,36.902861,-81.360307
Iron Heart Winery,36.920731,-80.769154
JBR Vineyards & Winery,37.224891,-80.698986
Nicewonder Farms & Vineyard,36.628856,-82.092365
Spinning Jenny Vineyard,37.007394293440505,-80.74429808
Squabble State Hard Cider & Spirits,36.61389,-82.22645
The New River Vineyard & Winery,37.1226954,-80.6074956
Tumbling Creek Cider Company,36.7089555,-81.9783968
Villa Appalaccia,36.817324258954905,-80.34389119
West Wind Farm Vineyard and Winery,36.902268,-80.909614
Big Fish Cider Co.,38.4122225,-79.5829143
Brooks Mill Winery,37.06533,-79.75481
Burnbrae Vineyards,37.3971009,-79.2749495
Fables & Feathers Winery,37.231707,-79.708141
Graham Ordinary Lodge and Meadery,37.4337073,-79.5798948
Hickory Hill Vineyards,37.1294993,-79.6300052
Peaks of Otter Winery & Orchards,37.3980235,-79.6248968
Ramulose Ridge Vineyards,37.1360834,-79.6292852
Seven Doors Winery,37.185159,-79.387233
Stoney Brook Vineyards & Winery,37.414565153061226,-79.86723941
Troddenvale at Oakley Farm,38.0431573,-79.7898265
Valhalla Vineyards,37.2242299,-80.0547425
Virginia Mountain Vineyards,37.5698409,-79.8812581
2 Witches Winery & Brewing Co.,36.58590348544224,-79.42125553
Altillo Vineyards,37.0648125,-79.24445704
American Way Country Wines,36.7993418,-78.4585771
Bright Meadows Farm,36.932911,-78.949448
Hamlet Vineyards,36.735099,-79.962893
Hunting Creek Vineyards,36.8326402,-78.7333385
Rosemont Vineyards,36.591661,-78.065791
The Homeplace Vineyard,36.86776,-79.473514
Three Sisters of Shiney Rock,36.551863,-78.59956
Woodbine Vineyards,36.6048497,-78.6304968
12 Ridges Vineyard,37.896244,-79.121436
Above Ground Winery,38.042652,-79.298762
Barren Ridge Vineyards,38.133606900000004,-78.95602617
Blue Ridge Vineyard,37.6406864,-79.8011563
Bluestone Vineyard,38.387521,-79.009498
Briedé Family Vineyards,39.298409,-78.154352
Brix and Columns Vineyards,38.3694974,-78.696842
Cave Ridge Vineyard,38.814569,-78.669093
Ciders From Mars,38.1474839,-79.074228
Common Wealth Crush Co.,38.06475789795919,-78.87479612
CrossKeys Vineyards,38.32282,-78.85085
Ecco Adesso Vineyards,37.835917,-79.307848
Glen Manor Vineyards,38.9179069,-78.1918077
Great Valley Farm Brewery & Winery,37.680196,-79.513085
Halcyon Days Cider Co.,37.681351,-79.496563
Hermitage Hill Cider at Stable Craft Brewing,38.1601126,-78.9061107
Honey & Hops Brew Works,38.917855450000005,-78.19109815
James Charles Winery & Vineyard,39.125869,-78.230607
Jump Mountain Vineyard,37.9345498,-79.3851094
Lexington Valley Vineyard,37.898921,-79.4068338
Lightwell Survey Wines,38.062108,-78.888525
Marceline Vineyards,38.323392,-78.868727
Misty Mountain Meadworks,39.290026,-78.163319
Muse Vineyards,38.857373,-78.50143
North Mountain Vineyard & Winery,38.949261,-78.478349
Old Hill Cider,38.667709,-78.796574
Ox-Eye Vineyards,38.14695,-79.074031
Reitano Vineyards,38.9179069,-78.1918077
Rockbridge Vineyard & Brewery,37.9373548,-79.2328102
Saga Meadery & Winery,38.911874142857144,-78.19430078
Sage Bird Ciderworks,38.45306845,-78.87001265
Shenandoah Vineyards,38.848959,-78.559001
Star in the Valley Estate Winery,39.033407499999996,-78.4139001
Star Party,38.14960805,-79.0735667
The Winery at Kindred Pointe,38.796689,-78.651894
Third Hill Winery at DeMello Vineyards,38.702489,-78.692223
Twin Oaks Tavern Winery,39.120993,-77.84495
Valerie Hill Vineyard & Winery,39.09023,-78.273601
Veramar Vineyard,39.118007,-77.914616
White Oak Lavender & The Purple Wolf Vineyard,38.3631894,-78.8381548
Winchester Ciderworks,39.1862832,-78.163799
Wisteria Farm & Vineyard,38.574266,-78.47429
Wolf Gap Vineyard & Winery,38.827287,-78.632326
50 West Vineyards,38.981214,-77.658302
8 Chains North,39.1796411,-77.66689354
868 Estate Vineyards,27.9129,-82.2923
Arterra Wines,38.967483,-77.971903
Aspen Dale Winery at The Barn,38.907228,-77.919609
Bacchus Winery,38.288308,-77.55387
Barrel Oak Winery and Brewery,38.885341,-77.896112
Bleu Frog Vineyards,39.163159,-77.541749
Blue Valley Vineyard and Winery,38.892139,-77.901496
Blue Wall Cider & Wine,39.1495831,-77.61619062
Bluemont Vineyard,39.097377,-77.836234
Boxwood Estate Winery,38.959786,-77.746471
Bozzo Family Vineyards,39.23839,-77.754359
Breaux Vineyards,39.231783,-77.726494
Cana Vineyards and Winery of Middleburg,38.978473,-77.668662
Capstone Vineyards,38.911969,-78.069038
Carriage House Wineworks,39.1886377,-77.58934261
Casanel Vineyards and Winery,39.11798,-77.628291
Chateau O'Brien at Northpoint,41.60113,-87.695709
Chester Gap Cellars,38.9089085,-78.18485667
Chrysalis Vineyards at The Ag District,38.971129,-77.657325
Cobbler Mountain Cellars Cidery,38.847118,-77.945581
Corcoran Vineyards and Cider,39.21121355,-77.65374892
Creek's Edge Winery,39.255885,-77.572511
Crimson Lane Vineyards,42.73358,-106.27947
Crushed Cellars,39.188351,-77.690522
Delaplane Cellars,38.95017,-77.935023
Domaine Fortier,39.247638,-77.62478
Doukénie Winery,39.211521649999995,-77.7093591
Eagletree Farm Vineyards,39.198695,-77.493885
Eden Try Estate Winery,38.329098,-77.572847
Effingham Manor Winery,38.6382694,-77.52195855
Endhardt Vineyards,39.073264,-77.694095
Fabbioli Cellars,39.181796,-77.518862
Firefly Cellars,39.150063,-77.625482
Fleetwood Farm Winery,38.988844,-77.562309
Fox Meadow Vineyards and Winery,38.936093,-78.046247
Gadino Cellars,38.682314,-78.170985
Good Spirit Winery,39.087918,-77.795147
Granite Heights Winery,38.637906,-77.843668
Gray Ghost Vineyards,38.677669,-78.004591
Greenhill Vineyards,38.966007,-77.705213
Hidden Brook Winery,39.20763,-77.499809
Hiddencroft Vineyards,39.273599,-77.674392
Hillsborough Winery Brewery & Vineyard,39.206159799999995,-77.73373954
Kalero Vineyard,39.21569,-77.742744
Lake Anna Winery,38.1121831,-77.7660905
Linden Vineyards,38.880734,-78.07164
Little Washington Winery and Brewery,38.693734,-78.18761
Lost Boy Cider,38.7987804,-77.0633025
Magnolia Vineyards & Winery,38.645157,-78.032051
Mattaponi Winery,38.144042,-77.59357178
Mediterranean Cellars,38.757295,-77.853183
Molon Lave Vineyards,38.62059735,-77.82399255
Morais Vineyards & Winery,38.56706145,-77.75125832
Mountain Run Winery,38.463915232780636,-78.05605031
Mt. Defiance Cider Barn,38.971294893939394,-77.7296382
Naked Mountain Winery and Vineyards,38.9281598,-77.998
Narmada Winery,38.691682,-78.025574
Nokesville Winery,38.684041,-77.570738
Notaviva Farm Brewery & Winery,39.198654,-77.7244269
October One Vineyard – Tasting Shop,39.1143584,-77.5659633
Old Farm Winery at Hartland,38.968365199999994,-77.56916335
Old House Vineyards,38.4548144,-77.9128604
Old Trade Brewery & Cidery,38.51867765,-77.90761306
Otium Cellars,39.115416,-77.745204
Paradise Springs Winery,38.7656462,-77.4050859
Pearmund Cellars,38.78455,-77.738849
Philip Carter Winery of Virginia,38.856052,-77.990862
Potomac Point Vineyard & Winery,38.45198833876339,-77.36227738
Quattro Goombas Winery and Craft Brewery,38.985428,-77.616799
Quièvremont Wine,38.689864,-78.211238
Rappahannock Cellars,38.8347266,-78.1140974
RdV Vineyards,38.934942050000004,-77.91801464
Rogers Ford Farm Winery,38.42499785,-77.73214682
Sharp Rock Vineyards,38.555382,-78.25501
Slater Run Vineyards,38.9939977,-77.8847178
Stone Tower Winery,39.064085,-77.634888
Stonehouse Meadery,39.087545,-77.740671
Sunset Hills Vineyard,39.180101,-77.678117
Terra Nebulo Vineyards,39.19040071324108,-77.61887058
The Barns at Hamilton Station Vineyards,39.152322,-77.645226
The Vineyard & Winery at Lost Creek,39.1144358,-77.5649059
The Wine Reserve at Waterford,39.190512,-77.66981
The Winery at Bull Run,38.83562,-77.453003
The Winery at La Grange,38.8508817,-77.6861043
The Winery at Sunshine Ridge Farm,38.764452,-77.660214
Three Creeks Winery,39.108515,-77.651249
Three Fox Vineyards & Farm Brewery,38.91620915,-77.92591433
Two Twisted Posts Winery,39.259243,-77.721387
Village Winery,39.186557,-77.60243282
Vint Hill Craft Winery,38.742823,-77.675797
Walsh Family Wine,39.175161,-77.725851
Wild Hare Cider Cabin,39.1123784,-77.5631984
Wild Hare Cider Pub,38.7110806,-77.79503147
Wilderness Run Vineyards,38.3272111,-77.7190155
Williams Gap Vineyard,39.1489063,-77.78176518
Willowcroft Farm Vineyards,39.071419,-77.658264
Zephaniah Farm Vineyard,39.081814,-77.622678
